SENSOR2,153.35,2.00,90.00,"ESP32_WROVER_BME680_BME680""",ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,63.71,-0.20,0.00,,SJ
TX,12.56,56.40,0.00,TPTP20R,TP20R
U1,35.13,34.76,0.00,"W25Q512JVEIQ""",SON127P600X800X80-9N
U2,16.80,34.29,90.00,"ESP32-C6-WROOM-1-N8""",XCVR_ESP32-C6-WROOM-1-N8
U3,83.19,43.60,270.00,"DS3231SN#""",SOIC127P1032X265-16N
U4,135.87,44.10,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,128.80,40.78,90.00,"ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831""",ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
VBAT,146.80,54.00,0.00,TPTP20R,TP20R
VBUS,149.85,54.02,0.00,TPTP20R,TP20R
